Program Name,batch_size,iterations,total_no_of_lines_examined,
tcas,50,100,1230,
tcas,50,200,1203,
tcas,50,500,1191,
tcas,50,1000,1283,
tcas,100,100,1357,
tcas,100,200,1352,
tcas,100,500,1268,
tcas,100,1000,1344,
tcas,150,100,1308,
tcas,150,200,1438,
tcas,150,500,1290,
tcas,150,1000,1282,
tcas,200,100,1202,
tcas,200,200,1365,
tcas,200,500,1293,
tcas,200,1000,1195,
tcas,500,100,1425,
tcas,500,200,1170,
tcas,500,500,1308,
tcas,500,1000,1350,1170
totinfo,50,100,770,
totinfo,50,200,681,
totinfo,50,500,719,
totinfo,50,1000,561,
totinfo,100,100,725,
totinfo,100,200,821,
totinfo,100,500,582,
totinfo,100,1000,653,
totinfo,150,100,846,
totinfo,150,200,751,
totinfo,150,500,621,
totinfo,150,1000,649,
totinfo,200,100,685,
totinfo,200,200,661,
totinfo,200,500,669,
totinfo,200,1000,707,
totinfo,500,100,911,
totinfo,500,200,995,
totinfo,500,500,788,
totinfo,500,1000,735,561
schedule,50,100,217,
schedule,50,200,147,
schedule,50,500,172,
schedule,50,1000,139,
schedule,100,100,207,
schedule,100,200,114,
schedule,100,500,154,
schedule,100,1000,129,
schedule,150,100,154,
schedule,150,200,178,
schedule,150,500,122,
schedule,150,1000,156,
schedule,200,100,267,
schedule,200,200,159,
schedule,200,500,104,
schedule,200,1000,163,
schedule,500,100,138,
schedule,500,200,208,
schedule,500,500,123,
schedule,500,1000,151,104
schedule2,50,100,623,
schedule2,50,200,err,
schedule2,50,500,err,
schedule2,50,1000,err,
schedule2,100,100,759,
schedule2,100,200,451,
schedule2,100,500,606,
schedule2,100,1000,err,
schedule2,150,100,617,
schedule2,150,200,699,
schedule2,150,500,521,
schedule2,150,1000,err,
schedule2,200,100,690,
schedule2,200,200,645,
schedule2,200,500,err,
schedule2,200,1000,err,
schedule2,500,100,766,
schedule2,500,200,588,
schedule2,500,500,693,
schedule2,500,1000,709,
printtokens,100,100,204,
printtokens,100,200,179,
printtokens,100,500,193,
printtokens,100,1000,168,
printtokens,150,100,106,
printtokens,150,200,113,
printtokens,150,500,172,
printtokens,150,1000,190,
printtokens,200,100,143,
printtokens,200,200,196,
printtokens,200,500,138,
printtokens,200,1000,128,
printtokens,500,100,253,
printtokens,500,200,209,
printtokens,500,500,165,
printtokens,500,1000,186,106
printtokens2,100,100,189,
printtokens2,100,200,338,
printtokens2,100,500,197,
printtokens2,100,1000,191,
printtokens2,150,100,166,
printtokens2,150,200,182,
printtokens2,150,500,203,
printtokens2,150,1000,160,
printtokens2,200,100,178,
printtokens2,200,200,286,
printtokens2,200,500,82,
printtokens2,200,1000,181,
printtokens2,500,100,426,
printtokens2,500,200,279,
printtokens2,500,500,79,
printtokens2,500,1000,181,79
replace,100,100,2266,
replace,100,200,2345,
replace,100,500,2248,
replace,100,1000,2322,
replace,150,100,2509,
replace,150,200,2217,
replace,150,500,2310,
replace,150,1000,2174,
replace,200,100,2392,
replace,200,200,2389,
replace,200,500,2118,
replace,200,1000,2078,
replace,500,100,2628,
replace,500,200,2798,
replace,500,500,2619,
replace,500,1000,2226,2078
